period,stateid,value,type
2026-11-01,KS,4015.7402,Forecasted
2026-12-01,KS,4072.0823,Forecasted
2027-01-01,KS,4108.304,Forecasted
2027-02-01,KS,4029.083,Forecasted
2027-03-01,KS,4029.083,Forecasted
2027-04-01,KS,3994.7998,Forecasted
2027-05-01,KS,4000.9802,Forecasted
2027-06-01,KS,4106.8267,Forecasted
2027-07-01,KS,4175.1206,Forecasted
2027-08-01,KS,4175.1206,Forecasted
2027-09-01,KS,4091.0571,Forecasted
2027-10-01,KS,4022.459,Forecasted
2027-11-01,KS,4015.7402,Forecasted
2027-12-01,KS,4072.0823,Forecasted
2028-01-01,KS,4108.304,Forecasted
2028-02-01,KS,4029.083,Forecasted
2028-03-01,KS,4029.083,Forecasted
2028-04-01,KS,3994.7998,Forecasted
2028-05-01,KS,4000.9802,Forecasted
2028-06-01,KS,4106.8267,Forecasted
2028-07-01,KS,4175.1206,Forecasted
2028-08-01,KS,4175.1206,Forecasted
2028-09-01,KS,4091.0571,Forecasted
2028-10-01,KS,4022.459,Forecasted
2028-11-01,KS,4015.7402,Forecasted
2028-12-01,KS,4072.0823,Forecasted
2029-01-01,KS,4108.304,Forecasted
2029-02-01,KS,4029.083,Forecasted
2029-03-01,KS,4029.083,Forecasted
2029-04-01,KS,3994.7998,Forecasted
2029-05-01,KS,4000.9802,Forecasted
2029-06-01,KS,4106.8267,Forecasted
2029-07-01,KS,4175.1206,Forecasted
2029-08-01,KS,4175.1206,Forecasted
2029-09-01,KS,4091.0571,Forecasted
2029-10-01,KS,4022.459,Forecasted
2029-11-01,KS,4015.7402,Forecasted
2029-12-01,KS,4072.0823,Forecasted
2030-01-01,KS,4108.304,Forecasted
2030-02-01,KS,4029.083,Forecasted
2030-03-01,KS,4029.083,Forecasted
2030-04-01,KS,3994.7998,Forecasted
2030-05-01,KS,4000.9802,Forecasted
2030-06-01,KS,4106.8267,Forecasted
2030-07-01,KS,4175.1206,Forecasted
2030-08-01,KS,4175.1206,Forecasted
2025-09-01,IN,9269.047,Forecasted
2025-10-01,IN,9221.232,Forecasted
2025-11-01,IN,9214.514,Forecasted
2025-12-01,IN,9263.78,Forecasted
2026-01-01,IN,9290.384,Forecasted
2026-02-01,IN,9209.467,Forecasted
2026-03-01,IN,9209.467,Forecasted
2026-04-01,IN,9188.448,Forecasted
2026-05-01,IN,9194.629,Forecasted
2026-06-01,IN,9228.025,Forecasted
2026-07-01,IN,9436.183,Forecasted
2026-08-01,IN,9436.183,Forecasted
2026-09-01,IN,9269.047,Forecasted
2026-10-01,IN,9221.232,Forecasted
2026-11-01,IN,9214.514,Forecasted
2026-12-01,IN,9263.78,Forecasted
2027-01-01,IN,9290.384,Forecasted
2027-02-01,IN,9209.467,Forecasted
